query,search interest,increase percent,source_file
outfit ideas,100,-20%,1yr_outfit_ideas
the outfit,100,20%,1yr_outfit
outfit,54,-7%,3mo_general_v2
white outfit,44,30%,3mo_outfit_v2
red outfit,28,-9%,1yr_outfit_v2
winter outfit idea,22,20%,1yr_outfit_ideas
pink outfit,21,-10%,1yr_outfit_v2
green outfit,21,40%,3mo_outfit_v2
easter outfit,19,"1,150%",3mo_outfit_v2
fall outfit idea,18,3%,1yr_outfit_ideas
concert outfit,18,-6%,1yr_outfit_v2
christmas outfit idea,18,20%,1yr_outfit_ideas
summer outfit,15,140%,3mo_outfit_v2
birthday outfit,14,-20%,1yr_outfit
outfit inspo,12,-7%,1yr_outfit
denim outfit,12,70%,3mo_outfit_v2
attire,11,20%,3mo_general_v2
nike outfit,10,20%,3mo_outfit_v2
cowboy outfit,9,-30%,1yr_outfit_v2
fall outfit,9,-20%,1yr_outfit
golf outfit,8,100%,3mo_outfit_v2
western outfit,7,10%,1yr_outfit_v2
under outfit,7,90%,1yr_outfit_v2
cowgirl outfit,6,-40%,1yr_outfit
90s outfit,6,-30%,1yr_outfit
rave outfit,5,-20%,1yr_outfit
concert outfit ideas,5,-10%,1yr_outfit
maid outfit,5,-30%,1yr_outfit_v2
tennis outfit,5,-20%,1yr_outfit_v2
80s outfit,5,-30%,1yr_outfit_v2
the outfit movie,4,40%,1yr_outfit
thanksgiving outfit,4,-20%,1yr_outfit_v2
easter outfit boy,4,800%,3mo_outfit_v2
all black outfit,4,2%,3mo_outfit_v2
coachella outfit,4,500%,3mo_outfit_v2
graduation outfit,4,-8%,1yr_outfit
outfit of the day,3,40%,1yr_outfit_v2
y2k outfit,3,-30%,1yr_outfit_v2
disco outfit,3,-40%,1yr_outfit_v2
business casual outfit,3,10%,1yr_outfit
valentines outfit,3,-20%,1yr_outfit
new years outfit,3,-40%,1yr_outfit
rumi outfit,3,Breakout,1yr_outfit
all white outfit,3,-20%,1yr_outfit
school girl outfit,3,-2%,1yr_outfit_v2
funeral outfit,3,-20%,1yr_outfit_v2
cute outfit ideas,3,-10%,1yr_outfit
airport outfit,3,20%,1yr_outfit
grinch outfit,2,-10%,1yr_outfit
nurse outfit,2,-10%,1yr_outfit
country concert outfit,2,-20%,1yr_outfit
kentucky derby outfit,2,"1,000%",3mo_outfit_v2
toddler easter outfit,2,"1,100%",3mo_outfit_v2
pirate outfit,2,30%,3mo_outfit_v2
sailor outfit,2,-10%,1yr_outfit
cute outfits,2,650%,3mo_general
mexican outfit,2,-10%,1yr_outfit
easter outfit women,2,"2,700%",3mo_outfit_v2
boys easter outfit,2,900%,3mo_outfit_v2
outfit maker,2,50%,3mo_outfit_v2
st patricks day outfit,2,450%,3mo_outfit_v2
alo outfit,2,8%,3mo_outfit_v2
jordan spieth 2026 masters outfit,2,Breakout,3mo_outfit_v2
rodeo outfit,2,70%,3mo_outfit_v2
formal attire,1,-10%,1yr_general_v2
celebrity outfit,1,-50%,1yr_outfit_ideas
olivia rodrigo bad idea right outfit,1,-90%,1yr_outfit_ideas
semi formal attire,1,-6%,1yr_general_v2
summer outfits,1,"1,000%",3mo_general
cocktail attire,1,-20%,1yr_general_v2
spring outfits,1,"1,350%",3mo_general
90s outfits,0,650%,3mo_general
